NPN,Municipio,Direccion,NumeroFicha
001001000100,Medellin,CL 10 20 30,FIC001
001001000101,Medellin,CR 15 25 35,FIC002
001001000102,Bello,CL 50 60 70,FIC003
001001000103,Itagui,TV 8 12 16,FIC004
001001000104,Envigado,CL 40 50 60,FIC005
001001000105,Sabaneta,DG 1 2 3,FIC006
001001000106,Copacabana,CL 20 30 40,FIC007
001001000107,Girardota,CR 5 10 15,FIC008
001001000108,Barbosa,CL 1 2 3,FIC009
001001000109,Caldas,TV 9 18 27,FIC010
001001000110,Medellin,CL 100 200 300,FIC011
001001000111,Medellin,CL 45 55 65,FIC012
001001000112,Bello,CR 70 80 90,FIC013
001001000113,Itagui,CL 12 34 56,FIC014
001001000114,Envigado,DG 21 43 65,FIC015
001001000115,Sabaneta,CL 99 88 77,FIC016
001001000116,Copacabana,CR 33 44 55,FIC017
001001000117,Girardota,CL 11 22 33,FIC018
001001000118,Barbosa,TV 67 89 12,FIC019
001001000119,Caldas,CL 14 25 36,FIC020
001001000120,Medellin,CL 77 88 99,FIC021
001001000121,Medellin,CR 5 6 7,FIC022
001001000122,Bello,CL 8 9 10,FIC023
001001000123,Itagui,DG 1 1 1,FIC024
001001000124,Envigado,CL 2 2 2,FIC025
001001000125,Sabaneta,TV 3 3 3,FIC026
001001000126,Copacabana,CL 4 4 4,FIC027
001001000127,Girardota,CR 5 5 5,FIC028
001001000128,Barbosa,DG 6 6 6,FIC029
001001000129,Caldas,TV 7 7 7,FIC030
001001000130,Medellin,CL 10 11 12,FIC031
001001000131,Medellin,CR 13 14 15,FIC032
001001000132,Bello,CL 16 17 18,FIC033
001001000133,Itagui,TV 19 20 21,FIC034
001001000134,Envigado,DG 22 23 24,FIC035
001001000135,Sabaneta,CL 25 26 27,FIC036
001001000136,Copacabana,CR 28 29 30,FIC037
001001000137,Girardota,CL 31 32 33,FIC038
001001000138,Barbosa,TV 34 35 36,FIC039
001001000139,Caldas,DG 37 38 39,FIC040
001001000140,Medellin,CL 40 41 42,FIC041
001001000141,Medellin,CR 43 44 45,FIC042
001001000142,Bello,CL 46 47 48,FIC043
001001000143,Itagui,TV 49 50 51,FIC044
001001000144,Envigado,DG 52 53 54,FIC045
001001000145,Sabaneta,CL 55 56 57,FIC046
001001000146,Copacabana,CR 58 59 60,FIC047
001001000147,Girardota,CL 61 62 63,FIC048
001001000148,Barbosa,TV 64 65 66,FIC049
001001000149,Caldas,DG 67 68 69,FIC050
